name,category_code,total_money_raised,country_code,city,address,zip_code,latitude,longitude
Fortify Software,software,$10M,USA,San Mateo,2215 Bridgepointe Parkway,94404,37.560781,-122.284114
Sitemasher,enterprise,C$5M,CAN,Vancouver,Suite 200,V5Y1J5,,
MediaTrust,advertising,$21M,USA,New York,"404 Park Avenue South,",10016,40.743662,-73.984268
GenieTown,search,$2M,USA,Palo Alto,430 Sherman Ave. Ste. 100,94306,37.425773,-122.144271
RiffTrax,games_video,$5M,USA,San Diego,12230 El Camino Real,92130,32.936973,-117.240431
Direct Hit,search,$26M,USA,Melbourne,1680 West Hibiscus Boulevard,32901,28.0854206,-80.6475007
Pentaho,analytics,$72M,USA,Orlando,Citadel International Suite 340,32822,,
Evernote,software,$251M,USA,Redwood City,305 Walnut St,94063,37.386774,-121.987661
Raptr,games_video,$27M,USA,Mountain View,701 N Shoreline Blvd,94043,37.40384,-122.07808
Covario,enterprise,$16M,USA,San Diego,3611 Valley Centre Drive,92130,32.912063,-117.114827
Kluster,web,$1M,USA,New York,3rd St & Ave A,10016,40.723652,-73.985281
MessageOne,,$10M,USA,Austin,11044 Research Blvd,78759,30.405197,-97.745673
Howcast,photo_video,$11M,USA,New York City,518 Broadway 2nd Floor,10012,40.646166,-73.889492
SugarSync,web,$61M,USA,San Mateo,1810 Gateway Drive,94404,37.54763,-122.307887
Phorm,advertising,$89M,GBR,London,2nd Floor Liberty House,,,
BillShrink,web,$9M,USA,Redwood City,601 Marshall St.,94063,37.503147,-122.211435
Outbrain,web,$99M,USA,New York City,116 E. 16th Street,10003,40.757929,-73.985506
DivX,software,$35M,USA,San Diego,4780 Eastgate Mall,92121,32.880882,-117.203309
Kazeon,enterprise,$41M,USA,Mountain View,1161 San Antonio Road,94303,37.431769,-122.099577
Yodlee,ecommerce,$124M,USA,Redwood City,"3600 Bridge Parkway, Suite 200",94065,37.538603,-122.251539
SlideRocket,enterprise,$7M,,,,,,
Quintura,search,$6M,RUS,"Sergiev Posad, Moscow Region","Academician Silin street 7, office 45",141300,,
Collactive,web,$2M,USA,Wilmington,1313 N. Market Street,19801,39.748985,-75.546329
Right Media,advertising,$45M,USA,New York,45 West 18th Street,10011,40.74632,-73.982607
Central Desktop,public_relations,$7M,USA,Pasadena,129 N Hill Ave #202,91106,34.148374,-118.121822
SafeNet,security,$139M,USA,Belcamp,4690 Millennium Drive,21017,39.467752,-76.23537
Tectura,software,$10M,USA,Redwood City,333 Twin Dolphin Drive,94065,,
Boonty,games_video,$10M,USA,New York,54 Franklin Street,10013,40.717248,-74.002662
crowdSPRING,ecommerce,$3M,USA,Chicago,1200 W. Lake St,60607,41.88583,-87.657354
99designs,design,$35M,USA,San Francisco,447 Battery St.,94111,37.7955307,-122.4005983
Innofidei,hardware,$10M,CHN,Beijing,1 Zhongguancun East Road,100084,39.905556,116.395833
LiveRail,advertising,$12M,USA,San Francisco,575 Market St.,94105,37.787183,-122.397759
Generate,games_video,$8M,USA,Santa Monica,1545 26th Street,90404,34.031328,-118.471463
Footnote,web,$10M,USA,Lindon,355 South 520 West,84042,40.3310529,-111.7276347
Radialpoint,software,$98M,CAN,Montreal,2050 Bleury,H3A 2J5,45.5075577,-73.5696547
Satmetrix,software,$1M,USA,San Mateo,1100 Park Place,94403,37.55818,-122.276454
Platform Solutions,hardware,$37M,USA,Sunnyvale,501 Macara Avenue,94085,,
SpectraSensors,enterprise,$26M,USA,Rancho Cucamonga,11027 Arrow Route,91730,,
Vidient,software,$12M,USA,Santa Clara,4000 Burton Drive,95054,,
Visto,mobile,$156M,USA,Sunnyvale,430 N. Mary Ave,94085,37.518539,-122.254275
LiveOps,public_relations,$51M,USA,Santa Clara,5425 Stevens Creek Blvd.,95051,37.323668,-122.004204
Polaris Wireless,mobile,$10M,USA,Mountain View,301 North Whisman Road,94043,37.397528,-122.05892
Imperva,software,$37M,USA,Redwood City,3400 Bridge Pkwy Ste 200,94065-1195,,
Sabrix,software,$13M,USA,Lake Oswego,5665 SW Meadows Rd,97035,,
Workday,enterprise,$175M,USA,Pleasanton,6230 Stoneridge Mall Road,94588,37.694202,-121.921532
CompanyLoop,network_hosting,$5M,USA,Mountain View,"148 Castro Street,",94041,37.394456,-122.078531
DailyStrength,web,$5M,USA,Los Angeles,12121 wilshire boulevard,90025,34.043948,-118.468204
Clarizen,software,$56M,USA,San Mateo,"2988 Campus Drive,",94403,37.536044,-122.328401
FriendFinder Networks,games_video,$551M,MYS,Boca Raton,6800 Broken Sound Parkway,56100,26.4074809,-80.1169895
Skydeck,mobile,$4M,USA,Palo Alto,330 Waverley St.,94301,37.5645375,-122.3254705
NeoEdge Networks,advertising,$10M,USA,Mountain View,215 Castro Street,94041,37.393679,-122.079017
Zuora,software,$128M,USA,Foster City,1051 East Hillsdale Boulevard,94404,37.5596277,-122.2709868
modu,mobile,$85M,ISR,Kfar-Saba,17 Atir Yeda Street,44643,,
Kidaro,enterprise,$14M,USA,Redmond,1 Microsoft Way,98052,47.6435828,-122.1285846
Tower Semiconductor,semiconductor,$25M,ISR,,"Ramat Gavriel Industrial Area, P.O. Box 619",23105,,
Voltage Security,security,$27M,USA,Cupertino,20400 Stevens Creek Blvd.,95014,37.399481,-122.1345417
Cenzic,software,$16M,USA,Campbell,655 Campbell Technology Parkway,95008,37.2816136,-121.9410679
Infopia,software,$20M,USA,Salt Lake City,56 East Broadway,84111,40.762412,-111.889137
kwiry,mobile,$1M,USA,San Francisco,47 Kearny St.,94108,37.7885714,-122.4035985
Scalent Systems,public_relations,$15M,USA,Palo Alto,1076b East Meadow Circle,94303,37.429676,-122.1085482
SignalDemand,software,$30M,USA,San Francisco,"101 California Street, Suite 1950",94111,,
Authenticlick,search,$5M,USA,Los Angeles,5757 Wilshire Blvd.,90036,34.062504,-118.354605
Wrike,enterprise,$11M,USA,San Jose,,95113,37.3973787,-122.0879281
Playfish,games_video,$21M,GBR,London,125 Kensington High St,London,51.4991094,-0.1984802
Tapioca Mobile,mobile,$5M,USA,San Diego,7220 Trade St,92121,32.88945,-117.166929
Monitor110,web,$25M,USA,New York,58 E 11th St.,10003,40.732748,-73.992607
WebVisible,software,$37M,USA,Playa Vista,5510 Lincoln Blvd.,90094,,
BladeLogic,enterprise,$7M,USA,Houston,2101 City West Blvd,77042,29.7805488,-95.3457921
ScanCafe,web,$4M,USA,Burlingame,1475 Rollins Road,94010,37.592584,-122.369676
liveBooks,public_relations,$5M,USA,Sausalito,4000 Bridgeway,94965,37.8712444,-122.5036866
Moblica,mobile,$6M,ISR,Tel Aviv,88 Menachem Begin Street,67138,32.0554,34.7595
Kampyle,web,$1M,ISR,Ramat Gan,7 Abba Hillel St.,,,
XIHA,games_video,$1M,FIN,Helsinki,Mannerheimintie 12 B,00100,60.1681494,24.9410012
Glaxstar,software,$4M,GBR,Birmingham,One Victoria Square,,52.479554,-1.903186
Adconion Media Group,advertising,$114M,USA,Santa Monica,3301 Exposition Blvd.,90404,,
Cvent,software,$137M,USA,McLean,8180 Greensboro Dr.,22102,38.923453,-77.227525
Zend Technologies,software,$44M,USA,Cupertino,19200 Stevens Creek Blvd.,95014,37.322385,-122.008549
iCrossing,public_relations,$62M,GBR,"Brighton, BN1 1ND",Moore House,,,
GotVoice,mobile,$3M,USA,Kirkland,10512 NE 68th Street,98033,47.666791,-122.199525
SlideShare,web,$3M,USA,San Francisco,"490 2nd St, 301",94107,37.776878,-122.400934
CLEAR,travel,$116M,USA,New York,595 Madison Avenue,10022,29.4748,-81.1274
babbel,education,$10M,DEU,Berlin,Bergmannstr. 5,10961,52.4897,13.38861
ibeatyou,games_video,$1M,USA,Santa Monica,,90408,34.0195,-118.4906
roomlinx,network_hosting,$3M,USA,BROOMFIELD,11101 W. 120th AVENUE,80021,,
Kannuu,software,$2M,USA,Dallas,8111 LBJ Freeway,75251,32.9249424,-96.7679229
Wikimedia Foundation,nonprofit,$74M,USA,San Francisco,149 New Montgomery St.,94105,37.76785,-122.392839
Clearwell Systems,software,$29M,USA,Mountain View,441 Logue Ave.,94043,37.398022,-122.049143
Infoblox,public_relations,$30M,USA,Santa Clara,3111 Coronado Drive,95054,,
Weplay,web,$13M,USA,New York,156a Reade St,10013,,
MindBites,web,$1M,USA,,,,37.09024,-95.712891
BeInSync,network_hosting,$8M,ISR,Tel Aviv,,,32.0554,34.7595
iovation,security,$15M,USA,Portland,111 SW 5th Avenue,97204,45.52254,-122.675536
Game Trust,software,$9M,USA,New York,135 West 20th Street,10011,,
Datacraft Solutions,software,$4M,USA,Durham,1502 West Hwy 54,27707,35.999586,-78.9065
Red Bend Software,mobile,$20M,USA,Waltham,"400-1 Totten Pond Road, Suite 130",02451,42.389795,-71.239286
itzbig,search,$4M,USA,Austin,8911 Capital of Texas Highway North,78759,30.387275,-97.759511
Marketo,software,$108M,USA,San Mateo,901 Mariners Island Blvd,94404,37.5583,-122.301385
Edmodo,education,$40M,USA,San Mateo,"60 E. Third Ave., #390",94401,41.857915,-88.321171
Minggl,network_hosting,$1M,USA,Austin,,,30.268735,-97.745209
Spongecell,advertising,$10M,USA,New York,"261 Madison Avenue, 14th Floor",10016,37.773727,-122.401537
Placecast,mobile,$8M,USA,San Francisco,165 Page St.,94102,37.773688,-122.423468
Palm,mobile,$100M,USA,Sunnyvale,950 W. Maude Ave,94085,37.392362,-122.040051
CarDomain Network,web,$3M,USA,Seattle,1633 Westlake Ave N,98119,47.634741,-122.340435
Undertone,advertising,$40M,USA,New York,340 Madison,10178,40.7509033,-73.9779759
Frengo,web,$8M,USA,San Mateo,1875 South Grant Road,94402,37.553121,-122.301534
Zong,mobile,$15M,USA,Menlo Park,640 Oak Grove Avenue,94025,37.4429885,-122.1624131
Cotendo,software,$36M,ISR,Netanya,"4 Hagavish St., Entry A, Second Floor",42507,,
Obvious,web,$2M,USA,San Francisco,164 South Park Street,94107,,
Cellfish,web,$60M,USA,New York,215 Lexington Avenue,10016,40.761855,-73.983754
eSolar,cleantech,$192M,USA,Pasadena,130 West Union Street,91103,34.146436,-118.153136
Marin Software,advertising,$100M,USA,San Francisco,123 Mission St.,94105,37.792083,-122.3946404
SiBEAM,mobile,$114M,USA,Sunnyvale,555 N. Mathilda Avenue,94085,37.390704,-122.03039
Baidu,search,$161M,CHN,Beijing,No. 58 North-West 4th Ring Road,100080,,
Tideway,software,$27M,GBR,London,Anchor House,SW3 3TY,,
Vivity Labs,games_video,$1M,CAN,Vancouver,21 Water Street,V6B 1A1,49.282249,-123.108456
Velocix,games_video,$25M,GBR,Cambridge,326 Cambridge Science Park,CB4 0WG,,
iRise,software,$20M,USA,El Segundo,2321 Rosecrans Ave.,90245,33.9019812,-118.3812173
Univa UD,software,$33M,USA,Lisle,1001 Warrenville Rd,60188,41.808458,-88.073008
TrustedPlaces,advertising,$1M,GBR,London,Phoenix Yard,WC1X 9LW,51.524483,-0.113583
Shopflick,ecommerce,$8M,USA,Los Angeles,10500 W. Pico Blvd,90064,34.044939,-118.419067
vzaar,web,$3M,GBR,London,31-33 Bondway,SW8 1SJ,,
Comcast,games_video,$725M,USA,Philadelphia,1701 JFK Blvd,19103,39.9525762,-75.1652518
Monkeysee,games_video,$1M,USA,Great Falls,774 Walker Road 2nd Floor,22066,,
Angie's List,web,$183M,USA,Indianapolis,1030 E. Washington Street,46202,39.767289,-86.139793
Engage,web,$5M,,,,,,
SquareTrade,hardware,$248M,USA,San Francisco,575 Market Street,94105,37.789551,-122.40036
GitHub,software,$100M,USA,San Francisco,275 Brannan St.,94107,37.775196,-122.419204
ArticleAlley,web,$1M,,,,,,
Kasenna,software,$11M,USA,Sunnyvale,1196 Borregas Avenue,94089,37.407588,-122.019357
Visible World,advertising,$33M,USA,New York,460 W. 34th St. Floor 14,10001,40.75406,-73.999003
ReefEdge,network_hosting,$15M,USA,Fort Lee,2 Executive Drive,07024,,
Globant,software,$28M,ARG,Buenos Aires,Ingeniero Butty 240 6Â° floor,C1001AFB,-34.5967236,-58.3708904
ImageShack,network_hosting,$10M,USA,Los Gatos,236 N Santa Cruz Ave,95030,37.226709,-121.98147
PluggedIn,games_video,$2M,USA,Santa Monica,,,34.007967,-118.489681
CellSpin,advertising,$2M,USA,San Jose,4423 Fortran Drive,95134,37.421731,-121.957018
InMobi,mobile,$216M,IND,Bangalore,"Pebble Beach, Ground Floor, Embassy Golf Link Business Park,",,,
Wayfair,ecommerce,$201M,USA,Boston,177 Huntington Ave,02115,42.348691,-71.082523
BuildDirect,ecommerce,$33M,CAN,Vancouver,717 West Pender St.,V6C 3G9,49.283935,-123.11593
Modern Feed,games_video,$3M,USA,Los Angeles,818 N. La Brea Ave.,90038,34.085749,-118.343791
Aardvark,web,$6M,USA,San Francisco,,94110,37.748676,-122.415813
MyWebGrocer,advertising,$61M,USA,Winooski,20 Winooski Falls Way,05404,44.509265,-73.183959
Serious Business,games_video,$4M,USA,San Francisco,580 Market Street,94104,37.7893215,-122.4013624
Retail Convergence,ecommerce,$25M,USA,Boston,,,42.35888,-71.05682
TuneWiki,music,$10M,USA,Santa Monica,725 Arizona Avenue,90401,37.412577,-121.916861
Tealeaf,advertising,$12M,USA,San Francisco,45 Fremont St.,94105,37.791242,-122.397133
Spotify,music,$533M,LUX,Luxembourg,22 av. Marie-ThÃ©rÃ¨se,,49.607295,6.121511
Adify,advertising,$27M,USA,San Bruno,"1000 Cherry Avenue, Suite 200",94066,37.629393,-122.424975
InvenSense,semiconductor,$38M,USA,San Jose,1745 Technology Dr,95110,37.407445,-122.019405
Kabam,games_video,$125M,USA,San Francisco,795 Folsom Street,94107,37.3944561,-122.0785314
Mind Candy,web,$10M,GBR,London,"Unit 4.01, Tea Building",E1 6JJ,51.471958,-0.147646
New Relic,software,$175M,USA,San Francisco,,,37.269175,-119.306607
Gridstone Research,software,$10M,USA,San Mateo,1900 Alameda de las Pulgas,94403,37.54588,-122.321354
PatientsLikeMe,health,$27M,USA,Cambridge,155 Second Street,02141,42.3674989,-71.0793952
Zinch,web,$5M,USA,San Francisco,"600 Townsend St, East Building",94103,40.234451,-111.658656
Citizen Sports,games_video,$10M,USA,San Francisco,525 Brannan St,94107,37.777513,-122.397044
Blue Nile,web,$49M,USA,Seattle,411 1st Avenue S,98104,,
SportsBlogs,web,$34M,,,,,,
Opsware,enterprise,$186M,USA,Sunnyvale,,,,
MarketLive,ecommerce,$20M,USA,Petaluma,"617 2nd Street, Suite B",94952,38.2310498,-122.6309861
Memopal,network_hosting,$1M,ITA,Rome,"Via Nepal, 29",00144,41.823172,12.461425
Skyrider,software,$17M,USA,Mountain View,201A Ravendale Drive,94043,,
Fanzter,web,$4M,USA,Unionville,45 South Main Street,06085,,
XunLight,cleantech,$33M,USA,Toledo,3145 Nebraska Avenue,43607,41.645278,-83.618593
Control4,hardware,$93M,USA,Salt Lake City,11734 South Election Road,84020,,
Talend,analytics,$102M,USA,Los Altos,5150 El Camino Real,94022,37.371908,-122.111711
Vurv Technology,software,$5M,USA,Jacksonville,"7660 Centurion Parkway, Suite 100",32256,30.238185,-81.543165
Wirama,hardware,$1M,USA,Sunnyvale,440 N. Wolfe Rd.,94085,37.384239,-122.012475
Rosum,mobile,$31M,USA,Mountain View,301 North Whisman Road,94043,37.397302,-122.059562
Authentium,software,$21M,USA,Palm Beach Gardens,7121 Fairway Dr,33418,26.837923,-80.134733
The Motley Fool,finance,$25M,USA,Alexandria,"2000 Duke St., Fourth Floor",22314,,
Nvidia,hardware,$25M,USA,Santa Clara,2701 San Tomas Expressway,95050,37.370026,-121.965381
Appfolio,real_estate,$30M,USA,Goleta,50 Castilian Dr.,93117,34.433463,-119.863565
Blackberry,hardware,$1B,CAN,Waterloo,295 Phillip Street,N2L 3W8,43.476528,-80.539594
CitizenHawk,advertising,$3M,USA,Aliso Viejo,,,33.571604,-117.734795
IP Commerce,network_hosting,$44M,USA,Denver,1001 17th Street,80202,39.74893,-104.99342
SimpleTuition,finance,$31M,USA,Boston,268 Summer Street,02210,42.297418,-71.214796
Sparkroom,advertising,$4M,CAN,Toronto,"661 Yonge Street, Suite 500",M4Y 1Z9,43.6683,-79.385969
Infinia,cleantech,$152M,USA,OGDEN,,84404,46.220919,-119.22322
Rapleaf,messaging,$16M,USA,Chicago,222 Merchandise Mart Plaza,60654,37.7867392,-122.4013875
Efficient Frontier,advertising,$6M,USA,Sunnyvale,809 Eleventh Avenue,94089,37.4049731,-122.0323525
rVita,software,$1M,USA,Santa Clara,4677 Old Ironsides Drive,95054,37.398476,-121.978821
[x+1],enterprise,$45M,USA,New York,315 Park Avenue South,10010,40.7455068,-73.982624
OleOle,network_hosting,$5M,USA,Beverly Hills,9777 Wilshire Blvd,90212,34.067153,-118.409161
SilkRoad Technology,software,$178M,USA,Chicago,20 West Kinzie Street,60654,,
myThings,advertising,$40M,GBR,London,4F. Walkden House,NW1 2EB,,
mywaves,mobile,$6M,SAU,Sunnyvale,4593,94085,37.3886,-122.016779
Aquantia,semiconductor,$138M,USA,Milpitas,700 Tasman Drive,95035,37.4130233,-121.9175461
Aprius,hardware,$22M,USA,Washington,3738 Technology Ave.,,47.6409655,-117.5357108
AirCell,messaging,$276M,USA,Itasca,1250 North Arlington Heights Rd,60143,41.989344,-88.004903
Row44,network_hosting,$103M,USA,Westlake Village,31280 Oak Crest Drive,91361,34.143152,-118.80146
Aster Data Systems,analytics,$53M,USA,San Carlos,999 Skyway Rd,94070,37.5068854,-122.2475729
Atmail,messaging,$2M,AUS,Peregian Beach,Unit 22,4573,,
Roku,hardware,$127M,USA,Saratoga,"12980 Saratoga Ave., Ste. D",95070,37.279969,-122.002271
Sonico,social,$6M,ARG,Buenos Aires,"Ayacucho 1246, 2Âº Floor",,-34.611781,-58.417309
eBureau,analytics,$38M,USA,St. Cloud,25 6th Avenue North,56303,45.560899,-94.159452
PA Semi,semiconductor,$86M,,,,,,
Sirtris Pharmaceuticals,biotech,$82M,USA,Cambridge,200 Technology Square,02139,42.363567,-71.091189
Knewton,education,$105M,USA,New York,100 5th Avenue,10011,40.7310476,-74.0078134
EnterMedia,advertising,$1M,RUS,Moscow,"Leningradsky Prospekt, 72, p. 4",,,
Massive,software,$10M,,,,,,
CoverItLive,web,$1M,USA,Austin,200 Academy,78704,43.6378576,-79.4255306
ScribbleLive,enterprise,C$12M,CAN,Toronto,488 Wellington St. W,M5V 1E3,43.64308,-79.406775
Zefanclub,web,$1M,FRA,Paris,19 Rue Vivienne,75002,48.868478,2.339843
Zinio,news,$27M,USA,San Francisco,114 Sansome Street,94104,37.7915,-122.40045
PurePlay,games_video,$15M,USA,San Francisco,,,37.775196,-122.419204
Apertio,mobile,$30M,GBR,Bristol,,BS16 7AR,51.499708,-2.533334
Axentra,software,$6M,CAN,Ottawa,"377 Dalhousie Street,",K1N 9N8,45.427398,-75.689871
Optasite,mobile,$60M,USA,Westborough,One Research Drive,01581,,
Vaultus Mobile,mobile,$6M,USA,Boston,263 Summer Street,02210,42.350359,-71.0506234
Handmark,mobile,$10M,USA,Kansas City,909 Walnut Street #400,64106,39.103151,-94.581908
TRUSTe,enterprise,$37M,USA,San Francisco,835 Market Street,94103,37.7886685,-122.4005576
M:Metrics,mobile,$18M,USA,Seattle,,,47.620716,-122.347533
Jambool,finance,$6M,USA,San Francisco,501 Folsom St,94105,37.782101,-122.389519
VMware,software,$369M,USA,Palo Alto,3401 Hillview Ave,94304,37.403315,-122.145981
Odysii,software,$20M,ISR,Herzliya,11 Hamenofim Street,46852,,
Monte Cristo,games_video,$7M,,,,,,
Jigsaw,web,$18M,USA,San Mateo,777 Mariners Island Boulevard,94404,37.552806,-122.291602
Backblaze,software,$5M,USA,Palo Alto,425A Forest Ave,94301,37.44296,-122.151198
OpenAir,software,$16M,USA,Boston,"211 Congress St., 8th Floor",02110,,
LiveU,news,$50M,ISR,Kfar Saba,9 Atir Yedda St.,44643,,
Navic Networks,advertising,$42M,USA,Waltham,201 Jones Road,02451,42.375518,-71.272292
Agilis Systems,mobile,$5M,USA,St. Louis,12747 Olive Blvd.,63141,38.681201,-90.471595
Medallia,software,$55M,USA,Palo Alto,395 Page Mill Rd.,94306,37.4520239,-122.1797053
TuneCore,games_video,$7M,USA,Brooklyn,45 Main Street,11201,40.704382,-73.986572
Epic Advertising,,$48M,USA,New York,512 Seventh Avenue,10018,40.753403,-73.989189
Crowd Science,web,$2M,USA,San Jose,1735 Technology Drive,95110,37.419041,-122.087471
Dizzywood,games_video,$2M,USA,,,,37.269175,-119.306607
Deltek,software,$2M,USA,Herndon,13880 Dulles Corner Lane,20171,,
AtTask,enterprise,$37M,USA,Lehi,"3300 Ashton Blvd, #300",84043,,
StartForce,web,$6M,USA,San Francisco,,94109,37.796164,-122.420903
Intelliworks,enterprise,$24M,USA,Bethesda,7315 Wisconsin Avenue,20814,39.116333,-77.181307
BrightSource Energy,cleantech,$845M,USA,Oakland,,,,
Yield Software,advertising,$6M,USA,San Mateo,1700 South Amphlett Blvd.,94402,37.558245,-122.302654
ZPower,cleantech,$123M,USA,Camarillo,4765 Calle Quetzal,93012,34.197333,-119.009054
Sense Networks,mobile,$9M,USA,New York City,1123 Broadway,10010,40.724647,-73.999636
ScreenScape Networks,advertising,$4M,CAN,Charlottetown,133 Queen St.,C1A7K4,46.234315,-63.127845
Practice Fusion,health,$155M,USA,San Francisco,420 Taylor Street,94102,37.7886717,-122.392725
HireVue,web,$53M,USA,South Jordan,10876 South River Front Parkway,84095,40.554467,-111.9137871
Arcadian Networks,cleantech,$90M,USA,Elk River,"12580 192nd Court, NW",55330-5086,45.3200381,-93.5874441
HealthiNation,web,$12M,USA,New York,35 East 21st Street,10010,40.739341,-73.988357
Firefly Energy,cleantech,$31M,USA,Peoria,6533 N. Galena Rd.,61614,40.76652,-89.571813
HomeSphere,software,$2M,USA,Lakewood,1626 Cole Blvd,80401-3306,,
Titan Gaming,games_video,$1M,USA,Santa Monica,"1351 4th Street, 4th floor",90401,53.544711,-113.515769
Stardoll,games_video,$10M,SWE,Stockholm,Hudiksvallsgatan 8,113 30,59.345553,18.037611
Baihe,web,$10M,CHN,Beijing,"Guanghua Road, Chaoyang District",100026,,
LabPixies,web,$1M,ISR,Tel Aviv,,,32.0554,34.7595
Aurora Biofuels,cleantech,$102M,USA,,3325 Investment Boulevard,94545,37.6266932,-122.1169032
Acronis,software,$11M,USA,Burlington,23 3rd Avenue,01803,42.48774,-71.223868
Exinda,software,$19M,USA,Boston,8 Faneuil Hall Market Pl Fl 3,02109-6110,40.617122,-111.858073
eEye,search,$24M,USA,Irvine,111 Theory,92617,33.64214,-117.855539
Trusera,web,$2M,USA,Seattle,2011 East Olive,98122,47.617122,-122.305994
OPENLANE,web,$10M,USA,Redwood City,2200 Bridge Parkway,94065,,
Razz,software,$10M,USA,San Francisco,208 Utah Street,94103,37.766909,-122.406676
HIRO Media,advertising,$5M,ISR,Tel Aviv,,,32.0554,34.7595
SpikeSource,software,$68M,USA,Mountain View,450 Clyde Ave,94043,37.510805,-122.203744
Guruji,search,$15M,IND,Bangalore,"3J,  3rd Cross, 7th 'C' Main",560034,12.937677,77.56574
SensorWave,public_relations,$1M,USA,Carlsbad,6965 El Camino Real 105-101,92009,33.103252,-117.266749
Keibi Technologies,software,$5M,USA,San Francisco,685 Market Street,94105,37.787646,-122.402759
Samba Tech,enterprise,$3M,BRA,Belo Horizonte,"R. Prof. José Vieira de Mendonça, 770",31310-260,-19.815731,-43.954223
Alereon,semiconductor,$73M,USA,Austin,7600 N. Capital of Texas Highway,78731,30.375563,-97.78192
VBS TV,games_video,$10M,USA,Brooklyn,97 North Tenth Street,11211,40.720764,-73.957968
LicenseStream,enterprise,$16M,USA,New York,65 Morton Street,10014,40.7309047,-74.006311
OkCupid,web,$6M,USA,New York,39 W 14th St,10011-7403,40.7368158,-73.9955426
FusionOne,mobile,$6M,USA,San Jose,55 Almaden Blvd.,95113,37.333439,-121.895286
SiSense,analytics,$10M,ISR,Tel Aviv,36 Hanamal st.,,,
Appian,software,$10M,USA,Reston,1875 Explorer Street,20190,38.912827,-77.220028
Cleartrip,travel,$51M,IND,Mumbai,Unit No 001 Ground Fl DTC Bldg Sitaram Mills Compound,400012,18.9978594,72.8367776
Mendix,enterprise,$13M,NLD,Rotterdam,Westzeedijk 487,3024 EL,51.9047086,4.4574464
Fortisphere,software,$10M,USA,Chantilly,4530 Walney Rd,22031,38.87804,-77.436151
Zigabid,web,$1M,USA,La Canada,744 Foothill Blvd,91011,34.208304,-118.209263
thePlatform,web,$8M,USA,Seattle,1000 2nd Avenue,98104,47.617838,-122.356027
Dayak,web,$1M,,,,,,
Samanage,software,$8M,USA,Cary,130 Edinburgh South,27511,,
Funtactix,games_video,$6M,USA,New York,349 5TH AVE,10016,,
Raytheon,security,$3M,USA,Waltham,870 Winter Street,02451,42.4011047,-71.2747563
PeakStream,software,$22M,USA,Redwood City,1600 Bridge Parkway,94065,,
Zingku,,$1M,,,,,,
Searchles,web,$2M,USA,Washington,1150 17th Street NW,20036,38.905327,-77.038897
MetaCarta,mobile,$10M,USA,Cambridge,350 Massachusetts Ave,02139,42.36236,-71.099692
PharmaNation,web,$25M,USA,Princeton,"100 Overlook Center, 2nd Floor",08540,,
Ecrio,mobile,$27M,USA,Cupertino,20450 Stevens Creek Blvd,95014,37.3228,-122.031282
Total Beauty Media,web,$16M,USA,Santa Monica,3420 Ocean Park Blvd,90405,,
BitDefender,software,$7M,USA,Fort Lauderdale,"6301 NW 5th Way, Suite 3500",33309,26.170422,-80.150794
KnowNow,web,$13M,,,,,,
Segway,cleantech,$161M,USA,Bedford,14 Technology Drive,03110,42.928152,-71.45672
Reconnex,software,$16M,USA,Mountain View,201-B Ravendale Drive,94043,37.388072,-122.055975
Milestone Systems,software,$27M,DNK,Banemarksvej 50 G,Milestone Systems A/S,DK-2605,,
9You,games_video,$100M,CHN,Shanghai,6F Harbour Ring Plaza No.18,200001,,
Numedeon,games_video,$1M,USA,Brea,417 Associated Rd,92821,33.9133208,-117.8789031
Lefthand Networks,enterprise,$25M,USA,Boulder,,,,
Nurien Software,software,$25M,,,,,,
SulfurCell,cleantech,$159M,DEU,Berlin,Barbara McClintock,12489,52.432644,13.522974
Ocarina Networks,network_hosting,$20M,USA,San Jose,42 Airport Parkway,95110,37.371056,-121.920558
Datapipe,network_hosting,$487M,USA,Jersey City,10 Exchange Place,07302,40.71644,-74.03392
Spire,network_hosting,$9M,USA,Boston,300 Summer Street,02210,42.350027,-71.049225
ON24,web,$8M,USA,San Francisco,201 3rd Street,94103,37.7850326,-122.4004738
Riot Games,games_video,$8M,USA,Culver City,10736 Jefferson Blvd.,90230,34.0025911,-118.3942383
Streetline,hardware,$40M,USA,San Francisco,49 Stevenson St.,94105,37.782085,-122.409747
Epocrates,software,$35M,USA,San Mateo,1100 Park Place,94403,37.544987,-122.291394
Truviso,analytics,$3M,USA,Foster City,1065 E. Hillsdale Blvd,94404,37.561111,-122.270487
ADP,web,$2M,IND,,,,,
Zhaopin,ecommerce,$110M,CHN,Beijing,"Building A4, Huitong Office Park No.",100025,,
muzu tv,web,$8M,IRL,Dublin,19 South William Street,2,53.341987,-6.262682
Third Age,health,$1M,USA,San Francisco,25 Stillman Street,94107-1309,,
Agitar,software,$10M,USA,Cranston,41 Sharpe Drive,02920,41.7401349,-71.4550207
Dexterra,mobile,$123M,USA,Bothell,21540 30th Dr SE,98021,47.802184,-122.196307
Message Systems,software,$38M,USA,Columbia,7070 Samuel Morse Drive,21046,39.169397,-76.811526
The Electric Sheep,advertising,$7M,USA,New York,25 W. 36th Street,10018,,
Cherwell Software,software,$25M,USA,Colorado Springs,12295 Oracle Boulevard,80921,39.010667,-104.81628
Code71,software,$1M,USA,Glen Allen,4732 Sadler Green Place,23060,37.665173,-77.587267
